Date,Time,Key,type,IncidentAddress
1/6/19,6.59,1,Neglected,340 CHERRY STREET
1/6/19,15.03,2,Tortured,133-35 ROOSEVELT AVENUE
1/6/19,13.26,2,Tortured,45 CHRISTOPHER STREET
1/7/19,12.48,1,Neglected,1018 BEDFORD AVENUE
1/7/19,16.22,1,Neglected,118 INDIANA PLACE
1/7/19,11.16,1,Neglected,43-63 167 STREET
1/7/19,16.55,1,Neglected,62-69 99 STREET
1/7/19,11.45,1,Neglected,43-63 167 STREET
1/7/19,12.29,1,Neglected,68-03 242 STREET
1/7/19,13.44,4,Chained,108-34 67 DRIVE
1/7/19,12.08,1,Neglected,14 SCHENCK COURT
1/7/19,10.28,2,Tortured,225 WORTMAN AVENUE
1/7/19,11.27,1,Neglected,14 SCHENCK COURT
1/7/19,4.53,4,Chained,65 SCHOLES STREET
1/7/19,12.27,1,Neglected,999 PELHAM PARKWAY NORTH
1/7/19,12.36,5,In Car,193 27 STREET
1/7/19,19.02,1,Neglected,154 NORTH 7 STREET
1/7/19,15.44,0,Other (complaint details),47-07 50 AVENUE
1/7/19,19.3,1,Neglected,1680 BEDFORD AVENUE
1/7/19,21.51,3,No Shelter,147-17 BEECH AVENUE
1/7/19,19.12,1,Neglected,2048 BAY RIDGE PARKWAY
1/7/19,17.46,1,Neglected,1780 PATTERSON AVENUE
1/7/19,21.34,1,Neglected,1145 WESTFARM ROAD
1/7/19,23.25,2,Tortured,594 FRANKLIN AVENUE
1/7/19,19.14,1,Neglected,311 EASTERN PARKWAY
1/7/19,16.25,1,Neglected,1051 ELDER AVENUE
1/7/19,8.28,1,Neglected,156 FIELDSTONE ROAD
1/7/19,14,1,Neglected,2 GROVE STREET
1/7/19,9.36,1,Neglected,950 UNION AVENUE
1/7/19,16.16,3,No Shelter,69 DELAVAN STREET
1/7/19,11.06,0,Other (complaint details),2214 WEST 8 STREET
1/8/19,1.4,2,Tortured,EAST 101 STREET
1/8/19,0.36,1,Neglected,40-25 COLLEGE POINT BOULEVARD
1/8/19,20.03,0,Other (complaint details),695 10 AVENUE
1/8/19,12.39,1,Neglected,7 PURROY PLACE
1/8/19,12.32,1,Neglected,475 HERKIMER STREET
1/8/19,12.46,1,Neglected,2410 LACONIA AVENUE
1/8/19,13.05,2,Tortured,150 LAMPORT BOULEVARD
1/8/19,17.14,2,Tortured,89 PARK STREET
1/8/19,9.31,1,Neglected,1047 SWINTON AVENUE
1/8/19,16.44,1,Neglected,144-45 35 AVENUE
1/8/19,17.07,0,Other (complaint details),650 WEST 177 STREET
1/8/19,15.51,3,No Shelter,217 HIMROD STREET
1/8/19,16.48,3,No Shelter,119 LOTT AVENUE
1/8/19,18.51,1,Neglected,15-11 146 STREET
1/8/19,7.01,0,Other (complaint details),1313 BALCOM AVENUE
1/8/19,6.07,0,Other (complaint details),3052 KINGSBRIDGE AVENUE
1/8/19,15.21,0,Other (complaint details),770 EAST 165 STREET
1/8/19,7.41,2,Tortured,38-05 65 STREET
1/8/19,15.54,1,Neglected,141-23 85 ROAD
1/8/19,9.56,1,Neglected,915 EAST 179 STREET
1/8/19,22.53,1,Neglected,141 TEHAMA STREET
1/8/19,23.23,1,Neglected,695 10 AVENUE
1/8/19,21.31,1,Neglected,2240 84 STREET
1/8/19,18.45,1,Neglected,95-17 102 STREET
1/8/19,19.21,0,Other (complaint details),86-25 91 STREET
1/8/19,11.13,1,Neglected,264 13 STREET
1/8/19,8.08,0,Other (complaint details),3859 3 AVENUE
1/8/19,17.44,0,Other (complaint details),1 EAST 60 STREET
1/8/19,15.54,2,Tortured,32 SUTTER AVENUE
1/9/19,14.23,0,Other (complaint details),577 WARREN STREET
1/9/19,14.25,0,Other (complaint details),606 WEST 47 STREET
1/9/19,14.18,1,Neglected,14 SCHENCK COURT
1/9/19,6.06,2,Tortured,3859 THIRD AVENUE
1/9/19,7.14,1,Neglected,
1/9/19,14.34,0,Other (complaint details),87-14 PARSONS BOULEVARD
1/9/19,9,1,Neglected,2455 GRAND AVENUE
1/9/19,13.48,1,Neglected,27 MARCONI PLACE
1/9/19,12.53,4,Chained,2071 HOMER AVENUE
1/9/19,11.55,1,Neglected,418 WEST 130 STREET
1/9/19,6.59,1,Neglected,2232 EAST 70 STREET
1/9/19,0.3,1,Neglected,1635 EAST 174 STREET
1/9/19,10.13,0,Other (complaint details),65-01 242 STREET
1/9/19,16.14,0,Other (complaint details),401 EAST 8 STREET
1/9/19,10.51,3,No Shelter,475 HERKIMER STREET
1/9/19,12.17,3,No Shelter,300 EAST 163 STREET
1/9/19,21.34,4,Chained,23 STREET
1/9/19,18.19,0,Other (complaint details),142-15 180 STREET
1/9/19,19.03,2,Tortured,102-14 62 AVENUE
1/9/19,21.47,3,No Shelter,470 CONCORD AVENUE
1/9/19,14.12,0,Other (complaint details),1368 WEBSTER AVENUE
1/9/19,15.41,0,Other (complaint details),53-35 82 STREET
1/9/19,16.59,0,Other (complaint details),165 ST JOHNS PLACE
1/9/19,6.53,4,Chained,106-09 GUY BREWER BOULEVARD
1/9/19,16.12,1,Neglected,1006 WILCOX AVENUE
1/9/19,21.02,1,Neglected,365 CLOVE ROAD
1/9/19,18.49,1,Neglected,3235 PARKSIDE PLACE
1/10/19,7.28,1,Neglected,552 WEST 171 STREET
1/10/19,18.26,1,Neglected,112-18 111 AVENUE
1/10/19,12.17,1,Neglected,1420 CLAY AVENUE
1/10/19,8.13,4,Chained,
1/10/19,13.29,4,Chained,
1/10/19,12.18,3,No Shelter,519 GRANT AVENUE
1/10/19,12.15,1,Neglected,153 FINE BOULEVARD
1/10/19,17.27,1,Neglected,552 WEST 171 STREET
1/10/19,14.39,1,Neglected,120 COOP CITY BOULEVARD
1/10/19,11.03,1,Neglected,222 EAST 111 STREET
1/10/19,2.12,1,Neglected,442 10 AVENUE
1/10/19,13.34,1,Neglected,142-15 180 STREET
1/10/19,7.57,1,Neglected,61 CRISPI LANE
1/10/19,16.5,1,Neglected,87-14 PARSONS BOULEVARD
1/10/19,8.13,4,Chained,1872 BARNES AVENUE
1/10/19,9.05,0,Other (complaint details),88B EDGEWATER B PARK
1/10/19,19.21,3,No Shelter,33-42 14 STREET
1/10/19,18.21,1,Neglected,
1/10/19,5.57,1,Neglected,112-18 111 AVENUE
1/10/19,12.4,1,Neglected,716 ST MARKS AVENUE
1/10/19,19.5,1,Neglected,149-30 85 STREET
1/10/19,18.54,1,Neglected,112-18 111 AVENUE
1/10/19,15.33,1,Neglected,102 STREET
1/10/19,10.13,3,No Shelter,465 EAST 143 STREET
1/10/19,20.08,3,No Shelter,33-24 109 STREET
1/10/19,19.36,1,Neglected,
1/10/19,15.18,1,Neglected,1039 BRYANT AVENUE
1/10/19,19.48,1,Neglected,
1/10/19,19.19,1,Neglected,84 MARBLE STREET
1/11/19,21.53,1,Neglected,EAST 87 STREET
1/11/19,5.36,1,Neglected,501 BRIGHTWATER COURT
1/11/19,22.18,0,Other (complaint details),
1/11/19,15,0,Other (complaint details),246 LINCOLN AVENUE
1/11/19,21.13,0,Other (complaint details),3235 PARK SIDE PLACE
1/11/19,6.42,1,Neglected,1149 EAST 34 STREET
1/11/19,10.5,0,Other (complaint details),452 3 AVENUE
1/11/19,14.06,1,Neglected,38 BUSH STREET
1/11/19,14.18,1,Neglected,60 DIVISION AVENUE
1/11/19,12.4,0,Other (complaint details),43-23 COLDEN STREET
1/11/19,3.33,3,No Shelter,97-46 88 STREET
1/11/19,12.28,1,Neglected,1819 WEST FARMS ROAD
1/11/19,17.49,1,Neglected,1256 76 STREET
1/11/19,8.11,1,Neglected,974 SHERIDAN AVENUE
1/11/19,12.26,3,No Shelter,511 GRANT AVENUE
1/11/19,12.55,2,Tortured,390 CRESCENT STREET
1/11/19,19.13,0,Other (complaint details),169-19 110 ROAD
1/11/19,12.55,0,Other (complaint details),
1/11/19,10.41,1,Neglected,
1/11/19,22.54,0,Other (complaint details),140-12 31 DRIVE
1/11/19,16.43,1,Neglected,102 MONTAGUE STREET
1/11/19,21.34,1,Neglected,146-01 23 AVENUE
1/11/19,12.17,1,Neglected,4004 AVENUE P
1/11/19,19.48,1,Neglected,828 EAST 223 STREET
1/11/19,20.27,1,Neglected,2603 GRAND AVENUE
1/11/19,18.24,0,Other (complaint details),26-02 28 STREET
1/11/19,18.08,0,Other (complaint details),84-50 KEW GARDENS ROAD
1/11/19,17.16,2,Tortured,2950 WEST 35 STREET
1/11/19,15.17,3,No Shelter,133-32 244 STREET
1/11/19,20.05,1,Neglected,318 JEFFERSON AVENUE
1/11/19,16.02,0,Other (complaint details),4259 KATONAH AVENUE
1/11/19,16.07,0,Other (complaint details),1765 PITMAN AVENUE
1/12/19,18.15,1,Neglected,124 EAST 13 STREET
1/12/19,0.54,1,Neglected,114-28 168 STREET
1/12/19,0,1,Neglected,594 FRANKLIN AVENUE
1/12/19,4.55,2,Tortured,1722 HARMAN STREET
1/12/19,12.41,1,Neglected,2172A 70 STREET
1/12/19,11.1,0,Other (complaint details),
1/12/19,16.48,1,Neglected,
1/12/19,12.1,1,Neglected,58 MANHATTAN AVENUE
1/12/19,9.59,1,Neglected,2271 SOUTHERN BOULEVARD
